loss,mae,val_loss,val_mae,learning_rate
0.01970748044550419,0.09128507971763611,0.00837758556008339,0.057369500398635864,0.0010000000474974513
0.005926948972046375,0.04810574650764465,0.006311590317636728,0.04590442776679993,0.0010000000474974513
0.005324604455381632,0.043060287833213806,0.008182136341929436,0.05139821022748947,0.0010000000474974513
0.005093500949442387,0.04161263629794121,0.00574576435610652,0.04429028183221817,0.0010000000474974513
0.004747831728309393,0.03966623544692993,0.006526927463710308,0.04628260061144829,0.0010000000474974513
0.004618122708052397,0.03911870718002319,0.006611133925616741,0.04419896751642227,0.0010000000474974513
0.004605952184647322,0.039407454431056976,0.006149814464151859,0.045431721955537796,0.0010000000474974513
0.004416096024215221,0.03885168209671974,0.008276564069092274,0.050530463457107544,0.0010000000474974513
0.004402939695864916,0.03883805498480797,0.005748418625444174,0.04096023738384247,0.0010000000474974513
0.00419714767485857,0.03801845386624336,0.005678420886397362,0.04326656460762024,0.0005000000237487257
0.004067081958055496,0.037441641092300415,0.006102409213781357,0.04573959484696388,0.0005000000237487257
0.004110712092369795,0.03791091591119766,0.005940670147538185,0.043810419738292694,0.0005000000237487257
0.004137519281357527,0.03789559751749039,0.005453814286738634,0.03991338983178139,0.0005000000237487257
0.004137806594371796,0.03796058148145676,0.0054948762990534306,0.043047089129686356,0.0005000000237487257
0.004096743650734425,0.03761766478419304,0.005357572343200445,0.04007469862699509,0.0005000000237487257
0.0040917713195085526,0.038390208035707474,0.006155004724860191,0.043140966445207596,0.0005000000237487257
0.004174107685685158,0.03863327577710152,0.005976598709821701,0.045693013817071915,0.0005000000237487257
0.004004903603345156,0.037733517587184906,0.00564955361187458,0.04345544055104256,0.0005000000237487257
0.003988613374531269,0.037674423307180405,0.00597759522497654,0.044520679861307144,0.0002500000118743628
0.003831008914858103,0.03685232996940613,0.005626872181892395,0.043849002569913864,0.0002500000118743628
0.0039666821248829365,0.03726775571703911,0.005793582648038864,0.04442085698246956,0.0002500000118743628
0.004050043411552906,0.03761763125658035,0.005699263885617256,0.045184336602687836,0.0002500000118743628
0.003922542091459036,0.03742941841483116,0.0054828398860991,0.041963912546634674,0.0002500000118743628
0.0039254543371498585,0.037295863032341,0.005561402533203363,0.042551975697278976,0.0001250000059371814
0.003892244305461645,0.037098970264196396,0.0063219801522791386,0.04573282226920128,0.0001250000059371814
0.003869038075208664,0.03682192787528038,0.005673320032656193,0.044918354600667953,0.0001250000059371814
0.003815494477748871,0.0368649959564209,0.005867831874638796,0.044676050543785095,0.0001250000059371814
