model,MAE,RMSE,R2,MAPE,R2_percent
XGBoost,10.350701765725727,19.96548102226767,0.943823450393764,30.72835880849168,94.3823450393764
TCN,11.354386938030338,20.005291018692134,0.9435992015665148,31.09139594328793,94.35992015665148
Hybrid,10.690889000410772,19.555719885091364,0.946105664599238,30.26063667502921,94.61056645992379
