tcn_weight,xgboost_weight,MAE,RMSE,R2
0.0,1.0,17.51626311436436,34.558535846153916,0.8872684887356407
0.01,0.99,17.49872646074259,34.50032640711414,0.8876479325641978
0.02,0.98,17.48132229667534,34.442657594569184,0.8880232214873885
0.03,0.97,17.464326711724844,34.38553212861271,0.888394355505213
0.04,0.96,17.44781608847941,34.32895272173017,0.888761334617671
0.05,0.95,17.431565227361475,34.272922078304305,0.8891241588247627
0.06,0.94,17.415496841328025,34.217442894115536,0.889482828126488
0.07,0.9299999999999999,17.399559698382138,34.162517855837294,0.889837342522847
0.08,0.92,17.383846752824876,34.108149640526555,0.8901877020138395
0.09,0.91,17.368312983304484,34.054340915109584,0.8905339065994657
0.1,0.9,17.3536677983463,34.00109433586318,0.8908759562797255
0.11,0.89,17.339366255507937,33.948412547891444,0.8912138510546189
0.12,0.88,17.325246045465274,33.896298184598336,0.891547590924146
0.13,0.87,17.311585334331973,33.84475386715615,0.8918771758883067
0.14,0.86,17.29845017009576,33.79378220397006,0.892202605947101
0.15,0.85,17.285576380391035,33.743385790138944,0.8925238811005289
0.16,0.84,17.27289863429614,33.69356720691271,0.8928410013485906
0.17,0.83,17.260875492867147,33.64432902114623,0.8931539666912858
0.18,0.8200000000000001,17.24961224030144,33.59567378475011,0.8934627771286145
0.19,0.81,17.238962406407005,33.54760403413864,0.893767432660577
0.2,0.8,17.228377934632388,33.50012228967484,0.8940679332871732
0.21,0.79,17.21796005924794,33.453231055113186,0.8943642790084029
0.22,0.78,17.20794731021526,33.40693281703986,0.8946564698242662
0.23,0.77,17.198000991270902,33.36123004431109,0.8949445057347631
0.24,0.76,17.188087650114568,33.31612518748964,0.8952283867398938
0.25,0.75,17.178442471592636,33.271620678279604,0.895508112839658
0.26,0.74,17.169230167479306,33.227718928960044,0.8957836840340558
0.27,0.73,17.160164359372125,33.184422331817416,0.8960551003230873
0.28,0.72,17.151213104721165,33.14173325857717,0.8963223617067525
0.29,0.71,17.14233361235131,33.09965405983487,0.8965854681850512
0.3,0.7,17.133831581056725,33.05818706448694,0.8968444197579836
0.31,0.69,17.125748955092398,33.01733457916137,0.8970992164255496
0.32,0.6799999999999999,17.117738914995968,32.97709888764876,0.8973498581877491
0.33,0.6699999999999999,17.10989165583656,32.93748225033372,0.8975963450445825
0.34,0.6599999999999999,17.10263819151586,32.89848690362734,0.8978386769960494
0.35000000000000003,0.6499999999999999,17.095510425812673,32.860115059400435,0.8980768540421499
0.36,0.64,17.088654160385982,32.82236890441846,0.898310876182884
0.37,0.63,17.082119939122116,32.785250599777974,0.8985407434182517
0.38,0.62,17.075871616936592,32.7487622803451,0.8987664557482532
0.39,0.61,17.069937172708055,32.71290605419627,0.8989880131728881
0.4,0.6,17.06443368854097,32.67768400206161,0.8992054156921568
0.41000000000000003,0.59,17.060131736247914,32.64309817677117,0.8994186633060591
0.42,0.5800000000000001,17.056162169054712,32.60915060270437,0.899627756014595
0.43,0.5700000000000001,17.05240129103202,32.57584327524298,0.8998326938177645
0.44,0.56,17.048887183393344,32.543178160227946,0.9000334767155678
0.45,0.55,17.045672636753135,32.51115719342034,0.9002301047080045
0.46,0.54,17.042977013369455,32.47978227996674,0.900422577795075
0.47000000000000003,0.53,17.040519892827557,32.449055293869534,0.9006108959767789
0.48,0.52,17.03814883419042,32.41897807746209,0.9007950592531166
0.49,0.51,17.035918863441147,32.389552440889624,0.900975067624088
0.5,0.5,17.03399638988082,32.36078016159554,0.9011509210896929
0.51,0.49,17.03278217904706,32.33266298381402,0.9013226196499314
0.52,0.48,17.031969293098097,32.30520261806888,0.9014901633048036
0.53,0.47,17.031228628570023,32.27840074067916,0.9016535520543094
0.54,0.45999999999999996,17.030670134118754,32.252258993271695,0.9018127858984488
0.55,0.44999999999999996,17.03111393709452,32.22677898230102,0.9019678648372219
0.56,0.43999999999999995,17.032123109701622,32.20196227857687,0.9021187888706287
0.5700000000000001,0.42999999999999994,17.033470316003044,32.17781041679968,0.9022655579986689
0.58,0.42000000000000004,17.034902674101698,32.15432489510426,0.902408172221343
0.59,0.41000000000000003,17.036411535810185,32.13150717461206,0.9025466315386506
0.6,0.4,17.037994700898086,32.10935867899229,0.9026809359505917
0.61,0.39,17.03984045304436,32.08788079403208,0.9028110854571666
0.62,0.38,17.04185039167297,32.067074867216284,0.902937080058375
0.63,0.37,17.04417526686072,32.04694220731677,0.9030589197542171
0.64,0.36,17.046626858484718,32.02748408399187,0.9031766045446928
0.65,0.35,17.04907845010872,32.00870172739611,0.9032901344298022
0.66,0.33999999999999997,17.051530041732722,31.990596327800354,0.9033995094095452
0.67,0.32999999999999996,17.05398241615242,31.973169035222984,0.9035047294839218
0.68,0.31999999999999995,17.056986868390858,31.956420959071984,0.903605794652932
0.6900000000000001,0.30999999999999994,17.06020032218076,31.94035316779848,0.9037027049165759
0.7000000000000001,0.29999999999999993,17.063549311070503,31.924966688561774,0.9037954602748534
0.71,0.29000000000000004,17.06788492546716,31.91026250690628,0.9038840607277645
0.72,0.28,17.07269339445675,31.896241566450488,0.9039685062753092
0.73,0.27,17.07792917704081,31.882904768588205,0.9040487969174876
0.74,0.26,17.08410503312718,31.87025297220232,0.9041249326542996
0.75,0.25,17.09101822349158,31.85828699339125,0.9041969134857453
0.76,0.24,17.098592718126334,31.84700760520836,0.9042647394118245
0.77,0.22999999999999998,17.106350306401637,31.836415537414403,0.9043284104325374
0.78,0.21999999999999997,17.11429965599799,31.82651147624334,0.9043879265478839
0.79,0.20999999999999996,17.122376798474527,31.81729606418154,0.9044432877578641
0.8,0.19999999999999996,17.130735453500982,31.808769899760673,0.9044944940624778
0.81,0.18999999999999995,17.13957316101592,31.800933537364344,0.9045415454617253
0.8200000000000001,0.17999999999999994,17.148646237916417,31.793787487048686,0.9045844419556063
0.8300000000000001,0.16999999999999993,17.157976205546564,31.787332214376978,0.9046231835441209
0.84,0.16000000000000003,17.167512146878703,31.78156814026848,0.9046577702272691
0.85,0.15000000000000002,17.177057503786884,31.776495640861565,0.9046882020050511
0.86,0.14,17.186632844182004,31.77211504739124,0.9047144788774666
0.87,0.13,17.196308609158542,31.76842664608118,0.9047366008445158
0.88,0.12,17.2061532060936,31.765430678050354,0.9047545679061986
0.89,0.10999999999999999,17.216512472813605,31.76312733923424,0.904768380062515
0.9,0.09999999999999998,17.227469419548974,31.761516780320836,0.9047780373134651
0.91,0.08999999999999997,17.23880615423365,31.760599106701374,0.9047835396590487
0.92,0.07999999999999996,17.250736477858418,31.76037437843583,0.9047848870992661
0.93,0.06999999999999995,17.26274098243557,31.76084261023331,0.9047820796341169
0.9400000000000001,0.05999999999999994,17.274745487012716,31.762003771447194,0.9047751172636016
0.9500000000000001,0.04999999999999993,17.286849128686644,31.763857786085197,0.9047639999877197
0.96,0.040000000000000036,17.299218639024158,31.766404532834216,0.9047487278064715
0.97,0.030000000000000027,17.31241783814816,31.769643845100003,0.904729300719857
